InvoiceDate,Country,daily_revenue,running_total
2010-12-01,Australia,358.25,358.25
2010-12-08,Australia,258.9,617.15
2010-12-14,Australia,-27.75,589.4
2010-12-17,Australia,415.7,1005.1
2011-01-06,Australia,7154.38,8159.48
2011-01-10,Australia,81.6,8241.08
2011-01-11,Australia,462.5,8703.58
2011-01-14,Australia,177.0,8880.58
2011-01-17,Australia,431.3,9311.88
2011-01-19,Australia,238.5,9550.38
2011-01-20,Australia,87.75,9638.13
2011-01-28,Australia,384.68,10022.81
2011-02-07,Australia,192.0,10214.81
2011-02-15,Australia,14022.92,24237.73
2011-02-27,Australia,412.55,24650.28
2011-03-03,Australia,16558.14,41208.42
2011-03-09,Australia,210.9,41419.32
2011-03-24,Australia,286.25,41705.57
2011-04-01,Australia,350.0,42055.57
2011-04-04,Australia,-13.2,42042.37
2011-04-08,Australia,421.6,42463.97
2011-04-28,Australia,-425.0,42038.97
2011-05-12,Australia,475.16,42514.13
2011-05-17,Australia,11924.8,54438.93
2011-05-20,Australia,766.36,55205.29
2011-05-23,Australia,472.09,55677.38
2011-05-31,Australia,-9.9,55667.48
2011-06-02,Australia,-23.0,55644.48
2011-06-15,Australia,23426.81,79071.29
2011-06-30,Australia,1760.96,80832.25
2011-07-13,Australia,2796.36,83628.61
2011-07-14,Australia,902.09,84530.7
2011-07-19,Australia,483.02,85013.72
2011-07-24,Australia,505.46,85519.18
2011-07-26,Australia,80.64,85599.82
2011-08-12,Australia,608.76,86208.58
2011-08-18,Australia,21880.44,108089.02
2011-09-01,Australia,2941.72,111030.74
2011-09-05,Australia,147.7,111178.44
2011-09-16,Australia,519.89,111698.33
2011-09-25,Australia,825.92,112524.25
2011-09-28,Australia,596.5,113120.75
2011-10-05,Australia,16471.77,129592.52
2011-10-06,Australia,678.76,130271.28
2011-11-02,Australia,450.24,130721.52
2011-11-03,Australia,375.24,131096.76
2011-11-04,Australia,338.71,131435.47
2011-11-15,Australia,5355.4,136790.87
2011-11-24,Australia,286.4,137077.27
2010-12-15,Austria,-20.16,-20.16
2010-12-17,Austria,277.2,257.04
2011-02-01,Austria,364.6,621.64
2011-02-02,Austria,153.76,775.4
2011-03-03,Austria,166.04,941.44
2011-03-23,Austria,1542.08,2483.52
2011-04-26,Austria,680.78,3164.3
2011-05-06,Austria,165.85,3330.15
2011-05-23,Austria,1083.58,4413.73
2011-06-14,Austria,-24.2,4389.53
2011-07-12,Austria,484.86,4874.39
2011-07-28,Austria,707.09,5581.48
2011-08-08,Austria,981.38,6562.86
2011-08-19,Austria,534.7,7097.56
2011-10-18,Austria,1043.78,8141.34
2011-11-13,Austria,586.85,8728.19
2011-11-14,Austria,742.93,9471.12
2011-12-08,Austria,683.2,10154.32
2010-12-20,Bahrain,205.74,205.74
2011-01-05,Bahrain,-205.74,0.0
2011-05-09,Bahrain,459.4,459.4
2011-05-19,Bahrain,89.0,548.4
2010-12-03,Belgium,346.1,346.1
2010-12-17,Belgium,625.16,971.26
2010-12-21,Belgium,237.93,1209.19
2010-12-22,Belgium,600.72,1809.91
2011-01-05,Belgium,-2.95,1806.96
2011-01-06,Belgium,-31.95,1775.01
2011-01-12,Belgium,651.16,2426.17
2011-01-19,Belgium,-11.25,2414.92
2011-01-20,Belgium,225.6,2640.52
2011-01-25,Belgium,323.44,2963.96
2011-02-03,Belgium,213.9,3177.86
2011-02-09,Belgium,84.3,3262.16
